1,,tree0     ,=,=,=,=
2,,tree1     ,=,=,=,=
3,,tree2     ,=,=,=,=
4,,flower0   ,=,=,=,=
5,,tree3     ,=,=,=,=
6,,tree4     ,=,=,=,=
7,,tree5     ,=,=,=,=
8,,tree6     ,=,=,=,=
9,,tree7     ,=,=,=,=
10,,flower1   ,=,=,=,=
11,,tree8     ,=,=,=,=
12,,flower2   ,=,=,=,=
13,,tree9     ,=,=,=,=
14,,tree10    ,=,=,=,=
15,,flower3   ,=,=,=,=
16,,tree11    ,=,=,=,=
17,,tree12    ,=,=,=,=
18,,rain      ,=,=,=,=
19,,snow1     ,=,=,=,=
20,,snow2     ,=,=,=,=
21,,snow3     ,=,=,=,=
22,,explosion ,=,=,=,=
23,,star      ,=,=,=,=
